支付方式,日期,日志内容,修改内容
Google Pay,2025/07/18,"JPY  KRW Adyen(50%),Airwallex (50%)
TWD CAD EUR SAR SGD GBP AUD HKD AED Stripe(33%)  Airwallex(33%)  Airwallex (34%)",
Google Pay,2025/07/23,"USD 给 Airwallex 10%
现状是 Airwallex 10%,Adyen 90%",
Google Pay,2025/07/25,"1、TWD PHP IDR CAD EUR AUD SAR 新增量切换成 Adyen 20%,Stripe 80%,2、Stripe 的订单 10% 使用 Primer 3DS,90% 使用 Processor 3DS,3、Airwallex 支付失败的订单 Fallback 到 Adyen",
Google Pay,2025/07/29,"修改USD 订单分配 Adyen 60%,Stripe 20%,AWX 20%",
Google Pay,2025/07/31,"Stripe 的订单 50% 使用 Primer 3DS,50% 使用 Processor 3DS",
Google Pay,2025/08/01,issuer country code 为 US/CA/MX/AU/TW  + Adyen + 非 Amex  的 GPay 开启 50% Adaptive 3DS,
Google Pay,2025/08/08,"Amex 修改：
USD币种：Adyen:AWX - 50%:50%
JPY/KRW ：AWX 100%
其他： Stripe:AWX - 50%:50%",
Google Pay,2025/08/12,"Amex 修改（Not Network Tokenised）：
USD币种：Adyen:AWX - 50%:50%
JPY/KRW ：AWX 100%
其他： Stripe: 100%",
Google Pay,2025/08/21,"1. 开启GP/AP的Affinity功能,2. 将PSP-Stripe的3DS全量切换至Primer 3DS,3. 苹果Pay的分量策略调整为下列方案：
1. USD/EUR/SAR/AUD- Adyen:Stripe:AWX=10%:60%:30%,2. KRW/JPY/CAD- Adyen:Stripe:AWX=10%:30%:60%,3. 其他币种- Adyen:Stripe:AWX=20%:40%:40%,4. Fallback 配置
1. Adyen 的 Fallback 配置成 Stripe
2. Stripe 的 Fallback 配置成 Adyen
3. Airwallex 的 Fallback 配置成",
Google Pay,2025/08/31,"Google：
TWD/TRY/PHP/GBP/AUD/SAR-Adyen:Stripe:AWX=10%:60%:30%
USD/KRW/JPY- Adyen:Stripe:AWX=20%:20%:60%
其他币种-Adyen:Stripe:AWX=20%:40%:40%",
Google Pay,2025/09/09,"分量排序皆为Adyen:Stripe:AWX
【GP】
USD - 15%:70%:15%。",
Google Pay,2025/09/12,"Adyen USD币种Affinity用户分流
AP- 30%/50%/20%(Adyen/Stripe/AWX)
GP- 20%/60%/20%(Adyen/Stripe/AWX)",
Google Pay,2025/09/16,"【GP】
USD - 20%:40%:40%。",
Google Pay,2025/09/19,"分量排序皆为Adyen:Stripe:AWX
【GP】
USD - 20%:30%:50%
Adyen Affinity 交易分流：
【GP】
USD- 40%/30%/30%",
Google Pay,2025/09/23,关闭 Adyen Affinity 交易分流,
Google Pay,2025/10/22,"分量排序皆为Adyen:Stripe:AWX
【GP】
EUR - 60%：20%：20%
GBP - 20%：60%：20%",
Google Pay,2025/10/29,"分量排序皆为Adyen:Stripe:AWX
【GP】
EUR - 40%：30%：30%
JPY/SGD - 40%：20%：40%",
Google Pay,2025/11/04,"*从左至右为Adyen:Stripe:AWX
【GP】
CAD - 30%：40%：30%
JPY/SGD - 20%：20%：60%
PHP - 40%：40%：20%
其他币种 - 30%：40%：30%",
Google Pay,2025/11/11,"USD/JPY - 20%：40%：40%
TWD - 30%：40%：30%
EUR - 40%：40%：20%
CAD - 40%：30%：30%
PHP - 20%：60%：20%",
Card,2025/11/20,- TRY - 40%：30%：30%,
Apple Pay,2025/11/20,- MYR - 40%：20%：40%,
Google Pay,2025/11/20,"- EUR - 40%：30%：30%
- SGD - 20%：40%：40%",
Card,2025/12/02,"- AUD/GBP/INR/SAR/NZD - 30%：40%：30%
- CAD - 20%：20%：60%
- THB - 60%：20%：20%
- UAH - 20%：40%：40%",
Apple Pay,2025/12/02,"- SAR/GBP - 30%：40%：30%
- CAD - 40%：40%：20%
- KRW/BRL - 20%：20%：60%",
Google Pay,2025/12/02,"- TWD/PHP - 20%：40%：40%
- GBP - 30%：40%：30%",
Card,2025/12/02,"- AUD/GBP/INR/SAR/NZD - 30%：40%：30%
- CAD - 20%：20%：60%
- THB - 60%：20%：20%
- UAH - 20%：40%：40%",
Apple Pay,2025/12/02,"- SAR/GBP - 30%：40%：30%
- CAD - 40%：40%：20%
- KRW/BRL - 20%：20%：60%",
Google Pay,2025/12/02,"- TWD/PHP - 20%：40%：40%
- GBP - 30%：40%：30%",
Card,2025/12/02,"- AUD/GBP/INR/SAR/NZD - 30%：40%：30%
- CAD - 20%：20%：60%
- THB - 60%：20%：20%
- UAH - 20%：40%：40%",
Apple Pay,2025/12/02,"- SAR/GBP - 30%：40%：30%
- CAD - 40%：40%：20%
- KRW/BRL - 20%：20%：60%",
Google Pay,2025/12/02,"- TWD/PHP - 20%：40%：40%
- GBP - 30%：40%：30%",
